,bucket,file,column,solver,length,capacity_estimate,power_units,data_sampling,data_quality_score,data_clearness_score,time_shifts,num_clip_points,tz_correction,inverter_clipping,normal_quality_scores,capacity_changes
0,pv.insight.nrel,PVO/PVOutput/2258.csv,Power(W),MOSEK,5.58,7.33,W,5,81.0,19.9,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/20393.csv,Power(W),MOSEK,4.08,1.01,W,5,64.7,10.3,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/23297.csv,Power(W),MOSEK,3.85,9.29,W,5,93.7,21.0,True,0,0,False,True,False
1,pv.insight.nrel,PVO/PVOutput/26865.csv,Power(W),MOSEK,2.99,3.52,W,5,88.8,16.9,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/26942.csv,Power(W),MOSEK,3.48,5.5,W,5,93.8,21.2,True,0,0,False,False,True
0,pv.insight.nrel,PVO/PVOutput/27168.csv,Power(W),MOSEK,3.46,3.97,W,5,95.2,35.7,True,0,-1,False,False,False
0,pv.insight.nrel,PVO/PVOutput/25505.csv,Power(W),MOSEK,3.64,1.14,W,5,89.7,40.0,True,0,1,False,False,False
0,pv.insight.nrel,PVO/PVOutput/21197.csv,Power(W),MOSEK,3.99,3.15,W,5,98.6,57.3,True,1,0,True,False,True
0,pv.insight.nrel,PVO/PVOutput/25863.csv,Power(W),MOSEK,3.56,3.7,W,5,91.9,15.5,True,1,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/23394.csv,Power(W),MOSEK,3.87,10.16,W,5,93.6,21.0,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/24423.csv,Power(W),MOSEK,3.76,2.82,W,5,97.2,44.3,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/25311.csv,Power(W),MOSEK,3.41,3.7,W,5,88.4,20.7,True,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/28143.csv,Power(W),MOSEK,3.31,6.76,W,5,93.8,22.9,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/27489.csv,Power(W),MOSEK,2.12,5.84,W,5,92.8,26.7,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/24723.csv,Power(W),MOSEK,3.73,6.01,W,5,79.4,11.1,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/28532.csv,Power(W),MOSEK,3.31,3.42,W,5,99.8,68.7,True,2,-1,True,True,False
0,pv.insight.nrel,PVO/PVOutput/26783.csv,Power(W),MOSEK,3.5,6.3,W,5,80.5,44.7,False,1,0,True,False,False
0,pv.insight.nrel,PVO/PVOutput/25441.csv,Power(W),MOSEK,3.6,5.03,W,5,92.7,22.4,True,0,-2,False,True,False
0,pv.insight.nrel,PVO/PVOutput/23911.csv,Power(W),MOSEK,3.79,5.24,W,5,96.8,53.3,True,0,0,False,True,False
1,pv.insight.nrel,PVO/PVOutput/25508.csv,Power(W),MOSEK,3.64,2.35,W,5,91.4,55.8,True,2,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/25877.csv,Power(W),MOSEK,3.59,6.01,W,5,94.4,47.3,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/26327.csv,Power(W),MOSEK,1.67,7.75,W,5,71.5,17.0,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/27133.csv,Power(W),MOSEK,3.46,3.38,W,5,91.9,48.7,True,1,-1,True,False,False
0,pv.insight.nrel,PVO/PVOutput/24582.csv,Power(W),MOSEK,3.75,3.75,W,5,97.8,56.8,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/28105.csv,Power(W),MOSEK,1.9,2.4,W,5,89.8,20.5,True,1,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/26352.csv,Power(W),MOSEK,3.31,6.66,W,5,83.7,18.4,True,1,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/24445.csv,Power(W),MOSEK,3.76,2.92,W,5,91.3,25.3,True,0,0,False,True,True
0,pv.insight.nrel,PVO/PVOutput/26775.csv,Power(W),MOSEK,1.64,6.51,W,5,98.8,29.8,True,1,-1,True,True,False
0,pv.insight.nrel,PVO/PVOutput/26105.csv,Power(W),MOSEK,3.58,7.04,W,10,88.9,14.5,False,3,0,True,False,False
0,pv.insight.nrel,PVO/PVOutput/28289.csv,Power(W),MOSEK,3.34,3.87,W,5,94.2,56.7,True,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/29164.csv,Power(W),MOSEK,3.25,2.16,W,5,10.1,0.0,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/2776.csv,Power(W),MOSEK,3.97,5.48,W,5,92.1,34.5,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/28722.csv,Power(W),MOSEK,2.99,5.34,W,5,75.8,19.3,True,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/26918.csv,Power(W),MOSEK,3.48,5.64,W,5,93.9,57.5,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/28852.csv,Power(W),MOSEK,3.15,10.64,W,15,98.1,17.8,False,2,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/28941.csv,Power(W),MOSEK,2.99,3.64,W,5,85.5,26.8,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/27947.csv,Power(W),MOSEK,3.38,9.15,W,5,95.7,22.1,True,1,-1,True,True,False
0,pv.insight.nrel,PVO/PVOutput/26238.csv,Power(W),MOSEK,3.55,11.39,W,5,82.8,20.5,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/29669.csv,Power(W),MOSEK,2.24,2.49,W,5,88.6,49.9,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/25250.csv,Power(W),MOSEK,3.67,17.51,W,5,88.1,14.6,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/27002.csv,Power(W),MOSEK,3.47,4.76,W,5,93.9,20.1,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/29873.csv,Power(W),MOSEK,3.12,6.61,W,5,97.6,56.9,False,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/27935.csv,Power(W),MOSEK,3.38,3.58,W,5,95.6,30.3,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/29126.csv,Power(W),MOSEK,2.0,4.74,W,5,45.0,5.9,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/27353.csv,Power(W),MOSEK,3.44,7.97,W,5,96.0,21.7,True,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/27681.csv,Power(W),MOSEK,3.4,3.4,W,5,83.6,24.2,True,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/28835.csv,Power(W),MOSEK,3.28,5.4,W,5,98.4,48.0,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/27609.csv,Power(W),MOSEK,2.99,3.52,W,5,83.6,17.1,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/26893.csv,Power(W),MOSEK,3.49,4.91,W,5,97.1,55.2,True,0,0,False,True,True
0,pv.insight.nrel,PVO/PVOutput/28923.csv,Power(W),MOSEK,3.27,16.81,W,5,91.2,20.8,False,1,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/27191.csv,Power(W),MOSEK,3.45,7.93,W,5,92.5,21.2,True,1,2,True,False,False
0,pv.insight.nrel,PVO/PVOutput/29562.csv,Power(W),MOSEK,2.99,4.29,W,5,81.6,37.7,True,2,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/28284.csv,Power(W),MOSEK,3.34,7.41,W,5,96.9,56.4,True,0,-1,False,True,False
0,pv.insight.nrel,PVO/PVOutput/27731.csv,Power(W),MOSEK,3.25,3.07,W,5,99.8,58.2,True,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/30903.csv,Power(W),MOSEK,2.99,2.83,W,5,93.9,29.7,False,0,0,False,False,False
0,pv.insight.nrel,PVO/PVOutput/29761.csv,Power(W),MOSEK,2.99,7.8,W,5,94.1,49.3,False,0,0,False,True,False
0,pv.insight.nrel,PVO/PVOutput/27400.csv,Power(W),MOSEK,3.43,5.08,W,5,88.6,19.2,True,2,0,True,True,False
0,pv.insight.nrel,PVO/PVOutput/28518.csv,Power(W),MOSEK,2.99,2.11,W,5,83.6,17.6,False,0,0,False,True,False
1,pv.insight.nrel,PVO/PVOutput/30121.csv,Power(W),MOSEK,3.12,2.6,W,5,94.8,16.2,False,1,0,True,True,False
